b'RCS\xc2\xa0#',b'Sort1',b'Sort2',b'Doc.',b'Subject/Motion',b'Date',b'Vote',b'Aye',b'No',b'Not\xc2\xa0Voting',b'Exc.\xc2\xa0Abs.',b'Exc.\xc2\xa0Vote',b'Total\xc2\xa0Votes',b'Result' 
b'469',b'H',b'426',b'HB 426',b'Town of Weldon/Deannexation.      Third Reading',b'6/30/2015 9:45 AM',b'Aye',b'PASS',b'43',b'0',b'1',b'6',b'0',b'43'
b'470',b'H',b'493',b'HB 493',b'Lake Lure Deannexation.      Third Reading',b'6/30/2015 9:45 AM',b'Aye',b'PASS',b'43',b'0',b'1',b'6',b'0',b'43'
b'470',b'H',b'902',b'HB 902',b'Transforming Principal Preparation.      Second Reading',b'4/29/2015 6:06 PM',b'Aye',b'PASS',b'117',b'0',b'1',b'2',b'0',b'117'
b'471',b'H',b'273',b'HB 273',b'Clarify Cond. Discharge Law/No DWI Expunge.      Second Reading',b'6/30/2015 9:47 AM',b'Aye',b'PASS',b'43',b'0',b'1',b'6',b'0',b'43'
b'472',b'H',b'669',b'HB 669',b'Juvenile Law Changes/Abuse/Neglect/Dependency.      Second Reading',b'6/30/2015 9:50 AM',b'Aye',b'PASS',b'43',b'0',b'1',b'6',b'0',b'43'
b'472',b'H',b'4',b'HB 4',b'Clarify Unmanned Aircraft System Law.      Second Reading',b'4/29/2015 8:13 PM',b'Aye',b'PASS',b'106',b'5',b'6',b'3',b'0',b'111'
b'473',b'H',b'696',b'HB 696',b'Debts to Judgment Debtors/Pay to Sheriff.      A1 Stam   Third Reading',b'4/29/2015 8:15 PM',b'Aye',b'PASS',b'111',b'0',b'6',b'3',b'0',b'111'
b'474',b'H',b'696',b'HB 696',b'Debts to Judgment Debtors/Pay to Sheriff.      Third Reading',b'4/29/2015 8:16 PM',b'Aye',b'PASS',b'112',b'0',b'5',b'3',b'0',b'112'
b'475',b'H',b'502',b'HB 502',b'Create Chain of Survival Task Force.      Second Reading',b'4/29/2015 8:18 PM',b'Aye',b'PASS',b'115',b'0',b'2',b'3',b'0',b'115'
b'475',b'H',b'39',b'HB 39',b'Labor/Up Amusement Device Penalties.      Amendment 1',b'7/1/2015 2:26 PM',b'Aye',b'PASS',b'48',b'0',b'0',b'2',b'0',b'48'
b'476',b'H',b'39',b'HB 39',b'Labor/Up Amusement Device Penalties.      Second Reading',b'7/1/2015 2:27 PM',b'Aye',b'PASS',b'48',b'0',b'0',b'2',b'0',b'48'
b'476',b'H',b'780',b'HB 780',b'Economic Impact of Jones Act on NC/Study.      Second Reading',b'4/29/2015 8:21 PM',b'Aye',b'PASS',b'116',b'0',b'1',b'3',b'0',b'116'
b'477',b'H',b'774',b'HB 774',b'Restoring Proper Justice Act.      A2 Adcock   Second Reading',b'4/29/2015 8:41 PM',b'No',b'FAIL',b'35',b'81',b'1',b'3',b'0',b'116'
b'477',b'H',b'201',b'HB 201',b'Zoning Changes/Citizen Input.      Amendment 1',b'7/1/2015 2:43 PM',b'No',b'FAIL',b'15',b'33',b'0',b'2',b'0',b'48'
b'478',b'H',b'201',b'HB 201',b'Zoning Changes/Citizen Input.      Second Reading',b'7/1/2015 2:50 PM',b'Aye',b'PASS',b'39',b'9',b'0',b'2',b'0',b'48'
b'478',b'H',b'774',b'HB 774',b'Restoring Proper Justice Act.      A3 Daughtry   Second Reading',b'4/29/2015 8:50 PM',b'Aye',b'PASS',b'74',b'42',b'1',b'3',b'0',b'116'
b'479',b'H',b'774',b'HB 774',"b'Restoring Proper Justice Act.      A4 Hall, L.   Second Reading'",b'4/29/2015 8:53 PM',b'No',b'FAIL',b'35',b'82',b'0',b'3',b'0',b'117'
b'479',b'H',b'376',b'HB 376',b'Civ Pro/Modernize Expert Discovery.      Second Reading',b'7/1/2015 2:52 PM',b'Aye',b'PASS',b'48',b'0',b'0',b'2',b'0',b'48'
b'480',b'H',b'766',b'HB 766',b'Amend CBD Oil Statute.      Amendment 1',b'7/1/2015 2:57 PM',b'Aye',b'PASS',b'48',b'0',b'0',b'2',b'0',b'48'
b'480',b'H',b'774',b'HB 774',b'Restoring Proper Justice Act.      Second Reading',b'4/29/2015 9:01 PM',b'Aye',b'PASS',b'84',b'33',b'0',b'3',b'0',b'117'
b'481',b'H',b'760',b'HB 760',b'Regulatory Reform Act of 2015.      A1 Jeter   Second Reading',b'4/29/2015 9:22 PM',b'Aye',b'PASS',b'97',b'19',b'1',b'3',b'0',b'116'
b'481',b'H',b'766',b'HB 766',b'Amend CBD Oil Statute.      Amendment 2',b'7/1/2015 3:00 PM',b'Aye',b'PASS',b'43',b'4',b'1',b'2',b'0',b'47'
b'482',b'H',b'823',b'HB 823',b'Establish Advisory Council on Rare Diseases.      Second Reading',b'7/1/2015 3:04 PM',b'Aye',b'PASS',b'48',b'0',b'0',b'2',b'0',b'48'
b'482',b'H',b'164',b'HB 164',b'School Calendar Flexibility.      A1 Cotham   Second Reading',b'4/29/2015 9:33 PM',b'No',b'FAIL',b'56',b'59',b'2',b'3',b'0',b'115'
b'483',b'H',b'164',b'HB 164',b'School Calendar Flexibility.      Second Reading',b'4/29/2015 9:33 PM',b'Aye',b'PASS',b'85',b'32',b'0',b'3',b'0',b'117'
b'483',b'H',b'411',b'HB 411',b'Town of Angier/Deannexation.      Third Reading',b'7/1/2015 3:06 PM',b'Aye',b'PASS',b'48',b'0',b'0',b'2',b'0',b'48'
b'484',b'H',b'766',b'HB 766',b'Amend CBD Oil Statute.      Amendment 3',b'7/1/2015 3:50 PM',b'Aye',b'PASS',b'47',b'0',b'0',b'3',b'0',b'47'
b'484',b'H',b'795',b'HB 795',b'State Environmental Policy Act Reform.      A1 Torbett   Second Reading',b'4/29/2015 9:42 PM',b'Aye',b'PASS',b'109',b'0',b'8',b'3',b'0',b'109'
b'485',b'H',b'795',b'HB 795',b'State Environmental Policy Act Reform.      A2 Catlin   Second Reading',b'4/29/2015 9:43 PM',b'Aye',b'PASS',b'112',b'0',b'5',b'3',b'0',b'112'
b'485',b'H',b'766',b'HB 766',b'Amend CBD Oil Statute.      Amendment 4',b'7/1/2015 3:52 PM',b'Aye',b'PASS',b'46',b'0',b'1',b'3',b'0',b'46'
b'486',b'H',b'766',b'HB 766',b'Amend CBD Oil Statute.      Amendment 5',b'7/1/2015 3:54 PM',b'Aye',b'PASS',b'45',b'1',b'1',b'3',b'0',b'46'
b'486',b'H',b'795',b'HB 795',b'State Environmental Policy Act Reform.      A3 Harrison   Second Reading',b'4/29/2015 9:45 PM',b'Aye',b'PASS',b'108',b'3',b'6',b'3',b'0',b'111'
b'487',b'H',b'795',b'HB 795',b'State Environmental Policy Act Reform.      A4 Millis   Second Reading',b'4/29/2015 9:46 PM',b'Aye',b'PASS',b'111',b'2',b'4',b'3',b'0',b'113'
b'487',b'H',b'766',b'HB 766',b'Amend CBD Oil Statute.      Second Reading',b'7/1/2015 3:55 PM',b'Aye',b'PASS',b'47',b'0',b'0',b'3',b'0',b'47'
b'488',b'H',b'765',b'HB 765',b'Regulatory Reform Act of 2015.      Amendment 1',b'7/1/2015 4:00 PM',b'Aye',b'PASS',b'44',b'0',b'1',b'4',b'1',b'44'
b'488',b'H',b'795',b'HB 795',b'State Environmental Policy Act Reform.      Second Reading',b'4/29/2015 9:58 PM',b'Aye',b'PASS',b'74',b'41',b'2',b'3',b'0',b'115'
b'489',b'H',b'794',b'HB 794',b'Protection from Online Impersonation.      Second Reading',b'4/29/2015 10:02 PM',b'Aye',b'PASS',b'116',b'0',b'1',b'3',b'0',b'116'
b'489',b'H',b'765',b'HB 765',b'Regulatory Reform Act of 2015.      Amendment 2',b'7/1/2015 4:01 PM',b'Aye',b'PASS',b'44',b'0',b'1',b'4',b'1',b'44'
b'490',b'H',b'765',b'HB 765',b'Regulatory Reform Act of 2015.      Amendment 3',b'7/1/2015 4:02 PM',b'Aye',b'PASS',b'44',b'0',b'1',b'4',b'1',b'44'
b'490',b'H',b'812',b'HB 812',b'Grant Recipients Posted on Grantor Web Site.      A1 Bishop   Second Reading',b'4/29/2015 10:05 PM',b'Aye',b'PASS',b'116',b'0',b'1',b'3',b'0',b'116'
b'491',b'H',b'812',b'HB 812',b'Grant Recipients Posted on Grantor Web Site.      Second Reading',b'4/29/2015 10:06 PM',b'Aye',b'PASS',b'117',b'0',b'0',b'3',b'0',b'117'
b'491',b'H',b'765',b'HB 765',b'Regulatory Reform Act of 2015.      Amendment 4',b'7/1/2015 4:03 PM',b'Aye',b'PASS',b'44',b'0',b'1',b'4',b'1',b'44'
b'492',b'H',b'765',b'HB 765',b'Regulatory Reform Act of 2015.      Amendment 5',b'7/1/2015 4:03 PM',b'Aye',b'PASS',b'44',b'0',b'1',b'4',b'1',b'44'
b'492',b'H',b'496',b'HB 496',b'Surcharge Transparency.      A1 Collins   Second Reading',b'4/29/2015 10:12 PM',b'Aye',b'PASS',b'115',b'0',b'2',b'3',b'0',b'115'
b'493',b'H',b'496',b'HB 496',b'Surcharge Transparency.      Second Reading',b'4/29/2015 10:15 PM',b'Aye',b'PASS',b'115',b'1',b'1',b'3',b'0',b'116'
b'493',b'H',b'765',b'HB 765',b'Regulatory Reform Act of 2015.      Amendment 6',b'7/1/2015 4:04 PM',b'Aye',b'PASS',b'44',b'0',b'1',b'4',b'1',b'44'
b'494',b'H',b'765',b'HB 765',b'Regulatory Reform Act of 2015.      Amendment 7',b'7/1/2015 4:10 PM',b'No',b'FAIL',b'14',b'30',b'1',b'4',b'1',b'44'
b'494',b'H',b'691',b'HB 691',b'Assault on National Guard Member.      Second Reading',b'4/29/2015 10:17 PM',b'Aye',b'PASS',b'117',b'0',b'0',b'3',b'0',b'117'
b'495',b'H',b'765',b'HB 765',b'Regulatory Reform Act of 2015.      Amendment 8',b'7/1/2015 4:20 PM',b'No',b'FAIL',b'15',b'29',b'1',b'4',b'1',b'44'
b'495',b'H',b'532',b'HB 532',b'Mal Beverage Technical Changes/Sell Cider in Growlers.      Second Reading',b'4/29/2015 10:19 PM',b'Aye',b'PASS',b'109',b'6',b'2',b'3',b'0',b'115'
b'496',b'H',b'669',b'HB 669',b'Juvenile Law Changes/Abuse/Neglect/Dependency.      Second Reading',b'4/29/2015 10:23 PM',b'Aye',b'PASS',b'115',b'0',b'2',b'3',b'0',b'115'
b'496',b'H',b'765',b'HB 765',b'Regulatory Reform Act of 2015.      Amendment 9',b'7/1/2015 4:24 PM',b'No',b'FAIL',b'15',b'29',b'1',b'4',b'1',b'44'
b'497',b'H',b'765',b'HB 765',b'Regulatory Reform Act of 2015.      Amendment 10',b'7/1/2015 4:27 PM',b'No',b'FAIL',b'14',b'29',b'2',b'4',b'1',b'43'
b'497',b'H',b'495',b'HB 495',b'Office of State Human Resources Modernization/Technical Changes.      A1 Dollar   Second Reading',b'4/29/2015 10:26 PM',b'Aye',b'PASS',b'115',b'0',b'2',b'3',b'0',b'115'
b'498',b'H',b'495',b'HB 495',b'Office of State Human Resources Modernization/Technical Changes.      A2 Floyd   Second Reading',b'4/29/2015 10:30 PM',b'No',b'FAIL',b'50',b'65',b'2',b'3',b'0',b'115'
b'498',b'H',b'765',b'HB 765',b'Regulatory Reform Act of 2015.      Amendment 11',b'7/1/2015 4:32 PM',b'Aye',b'PASS',b'29',b'15',b'1',b'4',b'1',b'44'
b'499',b'H',b'765',b'HB 765',b'Regulatory Reform Act of 2015.      Amendment 12',b'7/1/2015 4:38 PM',b'No',b'FAIL',b'15',b'28',b'2',b'4',b'1',b'43'
b'499',b'H',b'495',b'HB 495',b'Office of State Human Resources Modernization/Technical Changes.      A3 Stam   Second Reading',b'4/29/2015 10:31 PM',b'Aye',b'PASS',b'114',b'1',b'2',b'3',b'0',b'115'
b'500',b'H',b'495',b'HB 495',b'Office of State Human Resources Modernization/Technical Changes.      Second Reading',b'4/29/2015 10:33 PM',b'Aye',b'PASS',b'106',b'9',b'2',b'3',b'0',b'115'
b'500',b'H',b'765',b'HB 765',b'Regulatory Reform Act of 2015.      Amendment 13',b'7/1/2015 4:48 PM',b'No',b'FAIL',b'14',b'29',b'1',b'5',b'1',b'43'
b'501',b'H',b'765',b'HB 765',b'Regulatory Reform Act of 2015.      Second Reading',b'7/1/2015 4:49 PM',b'Aye',b'PASS',b'30',b'14',b'0',b'5',b'1',b'44'
b'501',b'H',b'352',b'HB 352',b'Standard of Proof/Public Safety Dispatchers.      Second Reading',b'4/29/2015 10:37 PM',b'Aye',b'PASS',b'115',b'2',b'0',b'3',b'0',b'117'
b'502',b'H',b'847',b'HB 847',b'Parental Rights and Medical Treatment of Minors.      A1 Glazier   Second Reading',b'4/29/2015 10:38 PM',b'Aye',b'PASS',b'115',b'0',b'2',b'3',b'0',b'115'
b'502',b'H',b'268',b'HB 268',b'Amend Transportation Laws.-AB      Second Reading',b'7/2/2015 11:15 AM',b'Aye',b'PASS',b'49',b'0',b'0',b'1',b'0',b'49'
b'503',b'H',b'201',b'HB 201',b'Zoning Changes/Citizen Input.      Third Reading',b'7/2/2015 11:17 AM',b'Aye',b'PASS',b'39',b'10',b'0',b'1',b'0',b'49'
b'503',b'H',b'847',b'HB 847',b'Parental Rights and Medical Treatment of Minors.      Second Reading',b'4/29/2015 10:40 PM',b'Aye',b'PASS',b'115',b'2',b'0',b'3',b'0',b'117'
b'504',b'H',b'460',b'HB 460',b'Reporting of Animal Incidents.      Second Reading',b'4/29/2015 10:42 PM',b'Aye',b'PASS',b'110',b'5',b'2',b'3',b'0',b'115'
b'504',b'H',b'765',b'HB 765',b'Regulatory Reform Act of 2015.      Amendment 14',b'7/2/2015 12:16 PM',b'Aye',b'PASS',b'35',b'13',b'0',b'1',b'1',b'48'
b'505',b'H',b'765',b'HB 765',b'Regulatory Reform Act of 2015.      Amendment 15',b'7/2/2015 12:17 PM',b'Aye',b'PASS',b'48',b'0',b'0',b'1',b'1',b'48'
b'505',b'H',b'460',b'HB 460',b'Reporting of Animal Incidents.      A1 Warren   Third Reading',b'4/29/2015 10:43 PM',b'Aye',b'PASS',b'116',b'0',b'1',b'3',b'0',b'116'
b'506',b'H',b'460',b'HB 460',b'Reporting of Animal Incidents.      Third Reading',b'4/29/2015 10:44 PM',b'Aye',b'PASS',b'110',b'6',b'1',b'3',b'0',b'116'
b'506',b'H',b'765',b'HB 765',b'Regulatory Reform Act of 2015.      Third Reading',b'7/2/2015 12:21 PM',b'Aye',b'PASS',b'31',b'17',b'0',b'1',b'1',b'48'
b'507',b'H',b'263',b'HB 263',b'City Elections/Trinity and Greensboro.      Conference Rpt Motion 8 To Adopt',b'7/2/2015 1:09 PM',b'Aye',b'PASS',b'33',b'16',b'0',b'1',b'0',b'49'
b'507',b'H',b'148',b'HB 148',b'Insurance Required for Mopeds.      Second Reading',b'4/29/2015 10:56 PM',b'Aye',b'PASS',b'81',b'32',b'4',b'3',b'0',b'113'
b'508',b'H',b'429',b'HB 429',b'Amend Medical Malpractice Health Care Provider Definition.      Second Reading',b'4/29/2015 10:58 PM',b'Aye',b'PASS',b'109',b'6',b'2',b'3',b'0',b'115'
b'508',b'H',b'350',b'HB 350',b'Restore Driving Privileges/Competency.      Second Reading',b'7/14/2015 2:15 PM',b'Aye',b'PASS',b'48',b'0',b'2',b'0',b'0',b'48'
b'509',b'H',b'544',b'HB 544',b'County Sign Ordinance in Cities.      Second Reading',b'7/14/2015 2:18 PM',b'Aye',b'PASS',b'47',b'1',b'2',b'0',b'0',b'48'
b'509',b'H',b'817',b'HB 817',b'Enact Uniform Law on Adult Guardianship.      Second Reading',b'4/29/2015 11:01 PM',b'Aye',b'PASS',b'115',b'0',b'2',b'3',b'0',b'115'
b'510',b'H',b'587',b'HB 587',b'School Flexibility Act.      A1 Blackwell   Second Reading',b'4/29/2015 11:04 PM',b'Aye',b'PASS',b'116',b'0',b'1',b'3',b'0',b'116'
b'511',b'H',b'587',b'HB 587',b'School Flexibility Act.      Second Reading',b'4/29/2015 11:05 PM',b'Aye',b'PASS',b'117',b'0',b'0',b'3',b'0',b'117'
b'511',b'H',b'58',b'HB 58',b'Certain Counties Sheriff/Food Purchases.      Second Reading',b'7/15/2015 2:38 PM',b'Excused Absence',b'PASS',b'39',b'10',b'0',b'1',b'0',b'49'
b'512',b'H',b'236',b'HB 236',b'Certain Counties/Purchasing Exemption.      Second Reading',b'7/15/2015 2:39 PM',b'Excused Absence',b'PASS',b'38',b'11',b'0',b'1',b'0',b'49'
b'512',b'H',b'739',b'HB 739',b'Repeal Business License Fees.      Second Reading',b'4/29/2015 11:08 PM',b'No',b'PASS',b'106',b'11',b'0',b'3',b'0',b'117'
b'513',b'H',b'616',b'HB 616',"b""Local Governmental Employees' Retirement Cost of Living Adjustment.      Second Reading""",b'4/29/2015 11:09 PM',b'Aye',b'PASS',b'113',b'4',b'0',b'3',b'0',b'117'
b'513',b'H',b'312',b'HB 312',b'Certain Counties Sheriff/Food Purchases.      Amendment 1',b'7/15/2015 2:40 PM',b'Excused Absence',b'PASS',b'45',b'4',b'0',b'1',b'0',b'49'
b'514',b'H',b'312',b'HB 312',b'Certain Counties Sheriff/Food Purchases.      Second Reading',b'7/15/2015 2:41 PM',b'Excused Absence',b'PASS',b'38',b'11',b'0',b'1',b'0',b'49'
b'514',b'H',b'56',b'HB 56',b'State Health Plan/Rehired Retiree Eligibility.      Second Reading',b'4/29/2015 11:12 PM',b'Aye',b'PASS',b'117',b'0',b'0',b'3',b'0',b'117'
b'515',b'H',b'754',b'HB 754',b'Community College Remediation Pilot Project.      A1 Brody   Second Reading',b'4/29/2015 11:14 PM',b'Aye',b'PASS',b'112',b'1',b'3',b'4',b'0',b'113'
b'515',b'H',b'254',b'HB 254',b'Protect National Guard Reemployment Rights.      Second Reading',b'7/15/2015 2:42 PM',b'Excused Absence',b'PASS',b'49',b'0',b'0',b'1',b'0',b'49'
b'516',b'H',b'341',b'HB 341',b'Controlled Substances/NBOMe and Other Drugs.      Second Reading',b'7/15/2015 2:46 PM',b'Excused Absence',b'PASS',b'49',b'0',b'0',b'1',b'0',b'49'
b'516',b'H',b'754',b'HB 754',b'Community College Remediation Pilot Project.      A2 Blackwell   Second Reading',b'4/29/2015 11:17 PM',b'Aye',b'PASS',b'112',b'1',b'3',b'4',b'0',b'113'
b'517',b'H',b'754',b'HB 754',b'Community College Remediation Pilot Project.      Second Reading',b'4/29/2015 11:18 PM',b'Aye',b'PASS',b'112',b'1',b'3',b'4',b'0',b'113'
b'517',b'H',b'512',b'HB 512',b'Amend/Clarify Back-Up PSAP Requirements.      Amendment 1',b'7/15/2015 2:50 PM',b'Excused Absence',b'PASS',b'49',b'0',b'0',b'1',b'0',b'49'
b'518',b'H',b'512',b'HB 512',b'Amend/Clarify Back-Up PSAP Requirements.      Amendment 2',b'7/15/2015 2:51 PM',b'Excused Absence',b'PASS',b'48',b'1',b'0',b'1',b'0',b'49'
b'518',b'H',b'924',b'HB 924',b'Highway Safety/Salary Changes.      Second Reading',b'4/29/2015 11:23 PM',b'Aye',b'PASS',b'117',b'0',b'0',b'3',b'0',b'117'
b'519',b'H',b'728',b'HB 728',b'Amend Laws Pertaining to Chiropractic Board.      Second Reading',b'4/29/2015 11:24 PM',b'Aye',b'PASS',b'117',b'0',b'0',b'3',b'0',b'117'
b'519',b'H',b'512',b'HB 512',b'Amend/Clarify Back-Up PSAP Requirements.      Second Reading',b'7/15/2015 2:51 PM',b'Excused Absence',b'PASS',b'48',b'1',b'0',b'1',b'0',b'49'
b'520',b'H',b'58',b'HB 58',b'Certain Counties Sheriff/Food Purchases.      Amendment 1',b'7/16/2015 12:34 PM',b'Excused Absence',b'FAIL',b'19',b'29',b'0',b'2',b'0',b'48'
b'520',b'H',b'135',b'HB 135',b'Modernize Physical Therapy Practice.      Second Reading',b'4/29/2015 11:28 PM',b'No',b'PASS',b'102',b'13',b'1',b'4',b'0',b'115'
b'521',b'H',b'528',b'HB 528',b'Establish Chiropractor Co-Pay Parity.      A1 Stevens   Second Reading',b'4/29/2015 11:31 PM',b'No',b'PASS',b'110',b'4',b'2',b'4',b'0',b'114'
b'521',b'H',b'58',b'HB 58',b'Certain Counties Sheriff/Food Purchases.      Third Reading',b'7/16/2015 12:38 PM',b'Excused Absence',b'PASS',b'36',b'12',b'0',b'2',b'0',b'48'
b'522',b'H',b'236',b'HB 236',b'Certain Counties/Purchasing Exemption.      Third Reading',b'7/16/2015 12:39 PM',b'Excused Absence',b'PASS',b'36',b'12',b'0',b'2',b'0',b'48'
b'522',b'H',b'528',b'HB 528',b'Establish Chiropractor Co-Pay Parity.      A2 Pendleton   Second Reading',b'4/29/2015 11:37 PM',b'No',b'FAIL',b'51',b'59',b'6',b'4',b'0',b'110'
b'523',b'H',b'528',b'HB 528',b'Establish Chiropractor Co-Pay Parity.      M4 Previous Question  Second Reading',b'4/29/2015 11:39 PM',b'Aye',b'PASS',b'79',b'29',b'8',b'4',b'0',b'108'
b'523',b'H',b'312',b'HB 312',b'Certain Counties Sheriff/Food Purchases.      Amendment 2',b'7/16/2015 12:40 PM',b'Excused Absence',b'PASS',b'41',b'7',b'0',b'2',b'0',b'48'
b'524',b'H',b'528',b'HB 528',b'Establish Chiropractor Co-Pay Parity.      Second Reading',b'4/29/2015 11:39 PM',b'Aye',b'PASS',b'68',b'43',b'5',b'4',b'0',b'111'
b'524',b'H',b'312',b'HB 312',b'Certain Counties Sheriff/Food Purchases.      Amendment 3',b'7/16/2015 12:41 PM',b'Excused Absence',b'PASS',b'42',b'6',b'0',b'2',b'0',b'48'
b'525',b'H',b'881',b'HB 881',b'Landlord/Tenant-Alias and Pluries Summary Eject.      A1 Jordan   Second Reading',b'4/29/2015 11:43 PM',b'Aye',b'PASS',b'107',b'4',b'3',b'6',b'0',b'111'
b'525',b'H',b'312',b'HB 312',b'Certain Counties Sheriff/Food Purchases.      Third Reading',b'7/16/2015 12:42 PM',b'Excused Absence',b'PASS',b'36',b'12',b'0',b'2',b'0',b'48'
b'526',b'H',b'881',b'HB 881',b'Landlord/Tenant-Alias and Pluries Summary Eject.      A2 McNeill M4 Previous Question  Second Reading',b'4/29/2015 11:54 PM',b'Aye',b'PASS',b'79',b'34',b'2',b'5',b'0',b'113'
b'527',b'H',b'881',b'HB 881',b'Landlord/Tenant-Alias and Pluries Summary Eject.      A2 McNeill   Second Reading',b'4/29/2015 11:55 PM',b'No',b'FAIL',b'52',b'60',b'3',b'5',b'0',b'112'
b'527',b'H',b'6',b'HB 6',b'Autocycle Definition and Regulation.      Second Reading',b'7/16/2015 12:45 PM',b'Excused Absence',b'PASS',b'48',b'0',b'0',b'2',b'0',b'48'
b'528',b'H',b'264',b'HB 264',b'Community Colleges 403(b) Plan.-AB      Second Reading',b'7/16/2015 12:46 PM',b'Excused Absence',b'PASS',b'48',b'0',b'0',b'2',b'0',b'48'
b'528',b'H',b'881',b'HB 881',b'Landlord/Tenant-Alias and Pluries Summary Eject.      M4 Previous Question  Second Reading',b'4/29/2015 11:55 PM',b'Aye',b'PASS',b'74',b'40',b'1',b'5',b'0',b'114'
b'529',b'H',b'881',b'HB 881',b'Landlord/Tenant-Alias and Pluries Summary Eject.      Second Reading',b'4/29/2015 11:56 PM',b'Aye',b'PASS',b'64',b'51',b'0',b'5',b'0',b'115'
b'529',b'H',b'276',b'HB 276',b'Agency Participation Procedures Act of 2015.      Second Reading',b'7/16/2015 12:48 PM',b'Excused Absence',b'PASS',b'48',b'0',b'0',b'2',b'0',b'48'
b'530',b'H',b'277',b'HB 277',b'Retirement Admin. Changes Act of 2015.-AB      Second Reading',b'7/16/2015 12:49 PM',b'Excused Absence',b'PASS',b'48',b'0',b'0',b'2',b'0',b'48'
b'530',b'H',b'909',b'HB 909',b'Sale of Antique Spirituous Liquor.      Third Reading',b'4/30/2015 12:39 AM',b'Aye',b'PASS',b'105',b'8',b'1',b'6',b'0',b'113'
b'531',b'H',b'477',b'HB 477',b'Law Enforcement Officers Privacy Protection.      Third Reading',b'4/30/2015 12:40 AM',b'Aye',b'PASS',b'113',b'0',b'1',b'6',b'0',b'113'
b'531',b'H',b'390',b'HB 390',b'Beaufort Co. CC/Washington Co.      Second Reading',b'7/16/2015 12:53 PM',b'Excused Absence',b'PASS',b'48',b'0',b'0',b'2',b'0',b'48'
b'532',b'H',b'760',b'HB 760',b'Regulatory Reform Act of 2015.      Second Reading',b'4/30/2015 1:06 AM',b'Aye',b'PASS',b'80',b'31',b'2',b'6',b'1',b'111'
b'533',b'H',b'341',b'HB 341',b'Controlled Substances/NBOMe and Other Drugs.      Second Reading',b'4/30/2015 1:07 AM',b'Aye',b'PASS',b'113',b'0',b'1',b'6',b'0',b'113'
b'533',b'H',b'186',b'HB 186',b'Cape Fear Water Resources Availability Study.      Amendment 1',b'7/20/2015 7:10 PM',b'Aye',b'PASS',b'41',b'2',b'1',b'6',b'0',b'43'
b'534',b'H',b'186',b'HB 186',b'Cape Fear Water Resources Availability Study.      Second Reading',b'7/20/2015 7:13 PM',b'Aye',b'PASS',b'44',b'0',b'0',b'6',b'0',b'44'
b'534',b'H',b'548',b'HB 548',b'Zoning/Modernize and Reorganize.      Second Reading',b'4/30/2015 1:08 AM',b'Aye',b'PASS',b'113',b'0',b'1',b'6',b'0',b'113'
b'535',b'H',b'554',b'HB 554',b'Protect Public from Dangerous Wild Animals.      A1 McGrady   Second Reading',b'4/30/2015 1:15 AM',b'Aye',b'PASS',b'106',b'0',b'8',b'6',b'0',b'106'
b'535',b'H',b'383',b'HB 383',b'Clarify Statutory Scheme/Sex Offenses.      Second Reading',b'7/20/2015 7:16 PM',b'Aye',b'PASS',b'44',b'0',b'0',b'6',b'0',b'44'
b'536',b'H',b'373',b'HB 373',b'2016 Presidential Primary.      Second Reading',b'7/21/2015 2:15 PM',b'Aye',b'PASS',b'45',b'0',b'0',b'5',b'0',b'45'
b'536',b'H',b'554',b'HB 554',b'Protect Public from Dangerous Wild Animals.      A2 McGrady   Second Reading',b'4/30/2015 1:27 AM',b'Aye',b'PASS',b'106',b'5',b'3',b'6',b'0',b'111'
b'537',b'H',b'554',b'HB 554',b'Protect Public from Dangerous Wild Animals.      A3 Hurley   Second Reading',b'4/30/2015 1:30 AM',b'Aye',b'PASS',b'107',b'5',b'2',b'6',b'0',b'112'
b'537',b'H',b'561',b'HB 561',b'School System Auth. Re: Legal Proceedings.      Amendment 1',b'7/21/2015 2:18 PM',b'No',b'PASS',b'38',b'7',b'0',b'5',b'0',b'45'
b'538',b'H',b'561',b'HB 561',b'School System Auth. Re: Legal Proceedings.      Second Reading',b'7/21/2015 2:19 PM',b'Aye',b'PASS',b'41',b'4',b'0',b'5',b'0',b'45'
b'538',b'H',b'554',b'HB 554',b'Protect Public from Dangerous Wild Animals.      Second Reading',b'4/30/2015 1:31 AM',b'Aye',b'PASS',b'79',b'33',b'2',b'6',b'0',b'112'
b'539',b'H',b'566',b'HB 566',b'Amend Eyewitness Identification/Show-Up.      A1 Pittman   Second Reading',b'4/30/2015 1:33 AM',b'Aye',b'PASS',b'112',b'0',b'2',b'6',b'0',b'112'
b'540',b'H',b'566',b'HB 566',b'Amend Eyewitness Identification/Show-Up.      Second Reading',b'4/30/2015 1:34 AM',b'Aye',b'PASS',b'113',b'0',b'1',b'6',b'0',b'113'
b'541',b'H',b'597',b'HB 597',b'Mediated Settlement Agreements.      Second Reading',b'4/30/2015 1:36 AM',b'Aye',b'PASS',b'113',b'0',b'1',b'6',b'0',b'113'
b'542',b'H',b'607',b'HB 607',b'Allow Protected Consumer Security Freezes.      Second Reading',b'4/30/2015 1:38 AM',b'Aye',b'PASS',b'113',b'0',b'1',b'6',b'0',b'113'
b'543',b'H',b'136',b'HB 136',b'Speed Limit/Highway Work Zone.      A1 Torbett   Second Reading',b'4/30/2015 1:40 AM',b'Aye',b'PASS',b'110',b'2',b'2',b'6',b'0',b'112'
